row_id,county_code,year,state,population,renter_occupied_households,pct_renter_occupied,median_gross_rent,median_household_income,median_property_value,rent_burden,pct_white,pct_af_am,pct_hispanic,pct_am_ind,pct_asian,pct_nh_pi,pct_multiple,pct_other,poverty_rate,rucc,urban_influence,economic_typology,pct_civilian_labor,pct_unemployment,pct_uninsured_adults,pct_uninsured_children,pct_adult_obesity,pct_adult_smoking,pct_diabetes,pct_low_birthweight,pct_excessive_drinking,pct_physical_inactivity,air_pollution_particulate_matter_value,homicides_per_100k,motor_vehicle_crash_deaths_per_100k,heart_disease_mortality_per_100k,pop_per_dentist,pop_per_primary_care_physician,pct_female,pct_below_18_years_of_age,pct_aged_65_years_and_older,pct_adults_less_than_a_high_school_diploma,pct_adults_with_high_school_diploma,pct_adults_with_some_college,pct_adults_bachelors_or_higher,birth_rate_per_1k,death_rate_per_1k
0,a4e2211,b,d725a95,45009.0,6944.0,37.218,643.0,33315.0,98494.0,33.389,0.41207038382054934,0.49345920025681667,0.07019321442186152,0.0025882305732228485,0.004574547059649686,0.00020063802893200376,0.015920627595754498,0.0009931582432134187,18.451,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a large metro area,Nonspecialized,0.407,0.093,0.239,0.068,0.332,0.277,0.145,0.12,0.077,0.313,12.165287368737848,14.01,18.21,318,2420.0,1960.0,0.532,0.252,0.153,0.233,0.375,0.278,0.114,12.915129150999999,11.205112050999999
1,583e0c7,a,533155c,9872.0,1224.0,31.773,517.0,43724.0,85444.0,26.477,0.8386815083961499,0.015587830852462637,0.03741882383643317,0.07349265776029068,0.00577141193829106,0.0008029790522839736,0.028244788164088774,0.0,11.922,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.547,0.04,0.204,0.092,0.315,0.208,0.129,0.06,0.094,0.31,8.292554349546748,,28.58,306,3330.0,890.0,0.509,0.252,0.188,0.07329317269076305,0.39759036144578314,0.3313253012048193,0.19779116465863456,11.049158525,12.276842805
2,4776bfd,b,d725a95,17625.0,1725.0,21.973,671.0,37777.0,136162.0,32.5,0.8737330870238154,0.04104049128763293,0.046921963153427525,0.004503469968545609,0.00487293424534425,0.0,0.02872834390134305,0.0001997104198911578,11.883,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Recreation,0.43,0.065,0.3,0.108,0.291,0.245,0.106,0.08,,0.244,13.129412423020778,,11.14,266,6699.0,3509.0,0.451,0.166,0.189,0.20658682634730538,0.30339321357285426,0.3013972055888223,0.18862275449101795,7.9035763683,10.161741045
3,97fb48d,a,d725a95,134136.0,18180.0,36.809,603.0,30607.0,70062.0,31.959,0.26408317203120946,0.240835711292479,0.08106678905673177,0.3779857522000279,0.0072436293975615094,0.0003990980384331411,0.02558218426356434,0.0028036637199928163,26.025,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.379,0.084,0.335,0.101,0.398,0.254,0.157,0.11,0.084,0.349,12.226194264523274,22.7,34.73,325,4810.0,2219.0,0.519,0.263,0.125,0.2482552342971087,0.3349950149551347,0.2901296111665005,0.12662013958125626,13.137118675999998,10.202072366
4,47a9ba3,a,be99678,6936.0,551.0,17.627,668.0,44237.0,187066.0,29.339,0.9245018215117553,0.005146019548902116,0.03575338920629865,0.014044552385881792,0.0007067067465610257,0.003175203551450242,0.01667230704915096,0.0,10.674,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Federal/State government-dependent,0.433,0.064,0.23,0.119,0.242,0.204,0.099,0.079,0.193,0.215,8.906229394578727,,23.26,187,,3410.0,0.487,0.196,0.203,0.05864811133200795,0.2763419483101392,0.4135188866799205,0.2514910536779324,6.0847519015,5.9398768562
5,2f5d62b,b,dc52510,985597.0,195220.0,48.578,1001.0,57207.0,240149.0,29.99,0.40381612484007134,0.4354996322899771,0.07613108610459084,0.0019040327211549116,0.06303456474214963,0.0003022274160563352,0.016985180782366036,0.0023271511036337808,12.948,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.514,0.071,0.273,0.096,0.231,0.132,0.079,0.11,0.18,0.196,13.209207245002187,12.8,10.52,256,1609.0,1030.0,0.513,0.233,0.097,0.09054726368159205,0.17910447761194032,0.23582089552238808,0.49452736318407964,12.632217769,6.101172038
6,2406c8b,a,f93b51e,18330.0,2256.0,30.415,522.0,29778.0,88617.0,26.88,0.9540618325127105,0.0078117949077927415,0.017288234173343627,0.0016044764894054412,0.005104240831921059,0.0,0.013728301962475306,0.0004011191223513603,21.1,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Farm-dependent,0.419,0.062,0.26,0.094,0.356,0.238,0.132,0.079,,0.31,9.906624250068933,8.5,24.43,370,2630.0,3100.0,0.511,0.251,0.188,0.22255489021956087,0.41017964071856283,0.24451097804391217,0.12275449101796407,13.568595267000001,11.598960471
7,801bf91,a,56f170e,185248.0,13778.0,18.446,953.0,91954.0,255951.0,26.738,0.870105119563473,0.03607968223399134,0.023531535869041893,0.0009127748354999199,0.048166425934841925,0.0003009147809340395,0.019077997111218107,0.0018255496709998398,3.074,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.534,0.035,0.087,0.035,0.264,0.122,0.087,0.07,0.2,0.217,13.759307522850728,1.2,6.32,192,2010.0,820.0,0.501,0.279,0.111,0.033932135728542916,0.20459081836327345,0.2435129740518962,0.5179640718562875,11.188855105,5.8403939649000005
8,82dbbf7,b,a972798,46558.0,4382.0,23.017,674.0,48484.0,124230.0,27.064,0.8849615103556664,0.0057659389170845975,0.09204480615033486,0.001211247585012563,0.006166351341882139,0.0006006186371963122,0.00924952701282321,0.0,8.954,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.503,0.056,0.229,0.104,0.314,0.21,0.102,0.07,0.112,0.293,13.17988792888408,,21.05,260,2639.0,1559.0,0.506,0.259,0.155,0.15415415415415412,0.4054054054054054,0.25625625625625625,0.18418418418418417,11.588892558,10.033765431
9,23c3967,b,a8981de,27319.0,2543.0,21.691,617.0,35375.0,78601.0,30.516,0.6185194763856284,0.35454382684120483,0.017675963872199895,0.0,0.0001989416305256038,0.0,0.00846496637886444,0.0005968248915768113,18.175,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.392,0.065,0.266,0.09,0.358,0.233,0.136,0.129,0.078,0.348,11.658108262260175,7.78,39.92,401,3499.0,1950.0,0.516,0.259,0.148,0.2047952047952048,0.39160839160839167,0.2767232767232768,0.12687312687312688,12.47771836,10.47691804
10,70db609,b,9759812,22727.0,2385.0,22.169,502.0,37240.0,91317.0,32.717,0.9702069570242828,0.007602706284438865,0.011807610677667175,0.0007871740451778117,0.0026704132165525766,0.0,0.006925138751880748,0.0,16.422,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Farm-dependent,0.434,0.059,0.194,0.065,0.297,0.279,0.106,0.089,,0.328,13.198032122691899,,26.5,314,5869.0,3300.0,0.503,0.188,0.203,0.23505976095617528,0.36354581673306774,0.2838645418326693,0.11752988047808764,8.1335140781,13.644747660999998
11,cb825af,b,930f257,1685.0,163.0,25.833,617.0,38603.0,59602.0,25.03,0.6021157038014678,0.0373547703321535,0.3278541004259404,0.0005999160117583539,0.0,0.0029895814585957966,0.029085927970084188,0.0,13.358,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and does not contain a town of at least 2,500 residents",Farm-dependent,0.412,0.042,0.4,0.269,0.288,,0.116,,,0.279,9.716762680715442,,,249,,1650.0,0.503,0.232,0.235,0.24324324324324326,0.2542542542542543,0.2822822822822823,0.22022022022022025,7.1335927367,15.564202335
12,6ba10cb,b,930f257,1337.0,108.0,24.522,820.0,53455.0,85864.0,29.726,0.5246082100754559,0.0022016292056121533,0.4576986970358065,0.0,0.0,0.0,0.015491463683125515,0.0,12.003,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Mining-dependent,0.6,0.03,0.276,0.202,0.293,,0.106,,,0.288,10.085018447991533,,,262,,,0.488,0.247,0.159,0.21435692921236288,0.32103688933200397,0.24327018943170486,0.2213359920239282,14.643545279000001,10.019267823
13,31e4dcb,a,a8981de,26179.0,2350.0,23.717,611.0,30667.0,78537.0,38.968,0.6513046696070489,0.3207216938201966,0.014001820236630762,0.0021002730354946143,0.00010001300169021973,0.0,0.011371478292177984,0.00040005200676087894,21.783,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area","Noncore adjacent to a small metro with town of at least 2,500 residents",Nonspecialized,0.392,0.074,0.265,0.082,0.377,0.261,0.133,0.119,0.124,0.318,11.655715296116561,18.8,42.24,373,4359.0,2399.0,0.52,0.247,0.159,0.23346693386773548,0.3627254509018036,0.27354709418837675,0.13026052104208416,11.693399075999999,12.901716981
14,6d9ef77,a,930f257,158537.0,14954.0,28.111,906.0,62464.0,146551.0,30.126,0.6386765899051416,0.08887842697304497,0.24644155740085946,0.002614365991205313,0.006000020033455871,0.0002003345587130508,0.016587701461440604,0.0006010036761391524,9.293,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Manufacturing-dependent,0.498,0.039,0.275,0.125,0.283,0.134,0.103,0.07,0.199,0.225,9.53075442712815,4.6,12.97,271,3709.0,2359.0,0.501,0.275,0.116,0.15169660678642713,0.29740518962075846,0.3383233532934132,0.21257485029940118,13.395208208,7.372940688099999
15,2b7fc8b,a,dc52510,6454.0,767.0,34.343,500.0,25512.0,56231.0,28.082,0.33068472535741156,0.6078555304740406,0.046139954853273143,0.002217205919237522,0.005929270127915726,0.0,0.007173313268121395,0.0,31.836,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area","Noncore adjacent to a small metro and does not contain a town of at least 2,500 residents",Farm-dependent,0.329,0.063,0.292,0.108,0.329,,0.123,0.13,,0.283,12.284978600021523,,,379,3259.0,3249.0,0.405,0.193,0.121,0.274,0.384,0.243,0.099,8.069522036,6.5176908752
16,c43e2ff,b,ea48b30,77345.0,10621.0,37.475,675.0,48101.0,144267.0,25.019,0.6782294362268787,0.006967869261828764,0.2521220786805353,0.020480702425664313,0.00792444090904514,0.0014197537079737798,0.03204011559413169,0.0008156031939423843,13.985,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",Micropolitan adjacent to a small metro area,Nonspecialized,0.457,0.078,0.272,0.094,0.341,0.217,0.103,0.06,0.146,0.243,9.785384439136976,2.65,14.97,238,1970.0,1869.0,0.479,0.26,0.132,0.1675025075225677,0.2918756268806419,0.37713139418254765,0.16349047141424272,14.144880636,8.285977125499999
17,6a6e7a1,a,8af7339,9292.0,1537.0,36.205,595.0,41512.0,170226.0,31.808,0.9177918270477254,0.0012863724297481104,0.03724496918689296,0.01129813924732255,0.003679623461837618,0.0007977503440298359,0.02790131828244351,0.0,8.788,"Nonmetro - Urban population of 2,500 to 19,999, not adjacent to a metro area","Noncore not adjacent to a metro/micro area and contains a town of 2,500  or more residents",Federal/State government-dependent,0.542,0.034,0.282,0.156,0.247,0.11,0.082,0.07,0.113,0.224,10.5323496344204,,18.69,193,2330.0,770.0,0.491,0.185,0.193,0.06580259222333,0.2991026919242273,0.3320039880358923,0.30309072781655033,8.7308003234,8.8385879817
18,1aba005,b,6f7cad6,139993.0,19060.0,39.946,1405.0,71378.0,462991.0,32.14,0.5444408983923087,0.020215821598117047,0.3307136873179878,0.0018949216100849723,0.07514860174731719,0.0018949216100849723,0.0223700482706347,0.0033210994534647147,6.985,"Metro - Counties in metro areas of fewer than 250,000 population",Small-in a metro area with fewer than 1 million residents,Recreation,0.517,0.057,0.22,0.093,0.236,0.085,0.072,0.06,0.237,0.142,7.5425415802000275,1.93,11.82,226,1349.0,1160.0,0.5,0.226,0.159,0.1695085255767302,0.19157472417251759,0.3149448345035106,0.32397191574724177,10.554802826,8.3001717645
19,85b8621,b,9759812,94489.0,9180.0,25.325,871.0,60519.0,190145.0,25.225,0.8692857644215825,0.05548035175325131,0.026551955800218595,0.0007019021548396154,0.028176357929990275,0.0,0.019402580994495083,0.00040108694562263737,6.042,"Metro - Counties in metro areas of 250,000 to 1 million population",Small-in a metro area with fewer than 1 million residents,Nonspecialized,0.529,0.046,0.137,0.056,0.267,0.176,0.105,0.08,0.116,0.258,12.96309719171736,1.52,9.86,238,1280.0,859.0,0.523,0.211,0.184,0.07984031936127745,0.26447105788423153,0.313373253493014,0.3423153692614771,9.384208054,10.04612034
20,4dac46d,b,d725a95,44519.0,5138.0,29.735,582.0,35965.0,98715.0,24.877,0.8797552461422508,0.038359316117259706,0.05588281962791067,0.004571779919869888,0.00778491808481098,0.0006941965171169028,0.008667539370859614,0.004284184219921457,15.707,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",Micropolitan adjacent to a small metro area,Manufacturing-dependent,0.458,0.065,0.208,0.067,0.338,0.23,0.133,0.09,0.071,0.317,13.155340018586442,5.81,12.87,261,3889.0,2649.0,0.5,0.214,0.174,0.18190954773869347,0.36783919597989956,0.3145728643216081,0.13567839195979903,10.619980226000001,11.508681501
21,62eef39,b,dc52510,23435.0,2297.0,28.3,774.0,41667.0,112804.0,36.681,0.6707243702871811,0.28003168618642704,0.029941440718755014,0.0005013637092892668,0.005184100754051018,0.0,0.008523183057917535,0.0050938552863789505,18.82,Metro - Counties in metro areas of 1 million population or more,Large-in a metro area with at least 1 million residents or more,Nonspecialized,0.428,0.075,0.263,0.092,0.334,,0.128,0.1,,0.267,13.275317664908934,7.09,26.37,318,8700.0,3349.0,0.468,0.223,0.138,0.23900000000000002,0.43500000000000005,0.22400000000000003,0.10200000000000001,12.059568259,11.244152610999999
